id;email;vorname;nachname;intern
1;Oswaldo.Pfannerstill@hotmail.com;Handmade Cotton Towels;Hong Kong Dollar Keyboard;false
2;Heath.Boyle1@yahoo.com;Oregon deposit Fresh;Avon Identity Outdoors;true
3;Heidi.Thompson26@yahoo.com;Legacy;Technician web-readiness;false
4;Matt.Mayert@gmail.com;Underpass;Incredible killer TCP;true
5;Janet.Rogahn51@hotmail.com;withdrawal Mission Money Market Account;transmit;true
6;Odessa.Cormier88@gmail.com;Mandatory Reduced;compelling Granite Officer;true
7;Myra.Wunsch82@yahoo.com;generate;Home;false
8;Ewell93@gmail.com;Awesome Product;payment;true
9;Ally_Harber55@gmail.com;matrix Orchestrator parsing;Cotton Architect Usability;false
10;Verda_Runolfsdottir40@yahoo.com;Practical Towels;optimize monitor monitor;false
