id;email;skill;level
1;Carter.Rohan24@gmail.com;Tennessee;46261
2;Caleb_Monahan@gmail.com;Borders interface;63940
3;Kirstin.Will@gmail.com;Car back-end;21044
4;Alex_Marks@gmail.com;Hollow;5244
5;Aryanna_Franecki63@gmail.com;input;92264
6;Rosetta.Bayer@yahoo.com;reciprocal;35228
7;Walter95@yahoo.com;hack Practical Cotton Hat Investment Account;79336
8;Brooks.Swift@hotmail.com;Quality Rustic drive;85410
9;Dorris7@yahoo.com;24/7 Pennsylvania analyzer;38037
10;Andres_Cronin59@yahoo.com;Licensed integrate disintermediate;24305
